name,time,result,min k,runtime,iterations,m (true set),n (number of subsets)
r45,600,1,28,6.277941599999991,1,221,654
r46,60,1,25,2.3417235999999946,1,162,384
r46,600,1,25,2.302613100000002,1,162,384
r47,60,1,28,2.8665036999999955,0,222,570
r47,600,1,28,2.7470818999999977,0,222,570
r48,60,1,20,1.0182300000000026,1,101,259
r48,600,1,20,0.9761441999999931,1,101,259
r49,60,1,4,0.24768650000000036,1,13,36
r49,600,1,4,0.2521218999999917,1,13,36
r4,60,1,10,0.27766620000001296,1,33,65
r4,600,1,10,0.26824880000000917,1,33,65
r50,60,1,6,0.25221899999999664,1,17,44
r50,600,1,6,0.24575289999999939,1,17,44
r5,60,1,29,6.748858500000011,1,206,664
r5,600,1,29,7.031288799999999,1,206,664
r6,60,1,6,0.23982599999999366,1,18,44
r6,600,1,6,0.26524109999999723,1,18,44
r7,60,1,20,0.8172373000000022,1,91,230
r7,600,1,20,0.8334167999999949,1,91,230
r8,60,1,4,0.2404987000000034,0,10,25
r8,600,1,4,0.250557299999997,0,10,25
r9,60,1,3,0.23949000000000353,2,10,23
r9,600,1,3,0.2453538999999978,2,10,23
scp41,60,1,41,18.636995299999995,1,200,1000
scp41,600,1,41,17.352225399999995,1,200,1000
scp42,60,1,41,18.26916639999999,1,200,1000
scp42,600,1,41,17.3707608,1,200,1000
scp43,60,1,43,9.732600699999978,0,200,1000
scp43,600,1,43,9.415834700000005,0,200,1000
scp44,60,1,43,29.633922300000023,2,200,1000
scp44,600,1,43,28.36408990000001,2,200,1000
scp45,60,1,44,20.776150099999995,1,200,1000
scp45,600,1,44,18.886883299999994,1,200,1000
scp46,60,1,43,19.751081,1,200,1000
scp46,600,1,43,19.214869399999998,1,200,1000
scp47,60,1,43,10.099890799999997,0,200,1000
scp47,600,1,43,9.358173899999997,0,200,1000
scp48,60,1,42,19.877767200000022,1,200,1000
scp48,600,1,42,18.552469400000007,1,200,1000
scp49,60,1,42,20.053763000000004,1,200,1000
scp49,600,1,42,19.61134119999997,1,200,1000
scp51,60,1,37,59.89564200000001,1,200,2000
scp51,600,1,37,58.69269120000001,1,200,2000
scp52,60,1,38,59.52800769999999,1,200,2000
scp52,600,1,38,57.44597530000004,1,200,2000
scp53,60,1,37,57.534425,1,200,2000
scp53,600,1,37,54.31286419999998,1,200,2000
scp54,60,1,39,31.03109840000002,0,200,2000
scp54,600,1,39,29.42850880000003,0,200,2000
scp55,60,1,37,59.79601770000005,1,200,2000
scp55,600,1,37,56.045484300000055,1,200,2000
scp56,60,0,40,60.005647499999895,1,200,2000
scp56,600,1,40,59.0730016,1,200,2000
scp57,60,0,38,60.0183174,1,200,2000
scp57,600,1,38,60.375255400000015,1,200,2000
scp58,60,1,39,58.874628400000006,1,200,2000
scp58,600,1,39,64.08384899999999,1,200,2000
scp59,60,1,38,58.83732199999997,1,200,2000
scp59,600,1,38,61.80931250000003,1,200,2000
scp61,60,1,23,10.724877699999979,1,200,1000
scp61,600,1,23,11.316363599999931,1,200,1000
scp62,60,1,22,5.216139200000043,0,200,1000
scp62,600,1,22,5.626235199999996,0,200,1000
scp63,60,1,23,5.415593699999931,0,200,1000
scp63,600,1,23,6.018120999999951,0,200,1000
scpa1,60,0,42,60.01084489999994,0,300,3000
scpa1,600,1,42,155.2305195,1,300,3000
scpa2,60,0,42,60.00967020000007,0,300,3000
scpa2,600,1,42,148.74365549999993,1,300,3000
scpa3,60,0,43,60.00247409999997,0,300,3000
scpa3,600,1,43,160.66891510000005,1,300,3000
scpa4,60,0,41,60.00151840000001,0,300,3000
scpa4,600,1,41,152.78307419999987,1,300,3000
scpa5,60,0,43,60.00220409999997,0,300,3000
scpa5,600,1,43,82.12333059999992,0,300,3000
